date,신용거래융자_전체,신용거래융자_유가증권,신용거래융자_코스닥,신용거래대주_전체,신용거래대주_유가증권,신용거래대주_코스닥,청약자금대출,예탁증권담보융자
2026-03-30,32601763,22284736,10317027,36820,31458,5363,0,25594865
2026-03-31,32922615,22559682,10362934,37389,32175,5214,0,25676887
2026-04-01,32981021,22609406,10371616,36077,30954,5123,0,25966684
2026-04-02,32725506,22506384,10219122,31566,26681,4885,0,26224496
2026-04-03,32443983,22278863,10165120,37238,32350,4888,0,25296762
2026-04-06,32845902,22643583,10202318,34745,29933,4813,0,25523015
2026-04-07,32657681,22468639,10189042,37576,32642,4934,0,25391936
2026-04-08,32730005,22573506,10156499,37325,32469,4855,0,25435315
2026-04-09,32720017,22636117,10083900,37546,32752,4794,0,25856913
2026-04-10,32901431,22750606,10150824,40803,35864,4939,0,25721893
2026-04-13,33216818,22986628,10230189,37721,33737,3984,0,24994153
2026-04-14,33282445,23040602,10241844,37126,33223,3903,0,24911979
2026-04-15,33356678,23096979,10259698,38360,34186,4174,0,25185591
2026-04-16,33872266,23425867,10446400,38616,34446,4170,0,25043657
2026-04-17,34027932,23509583,10518349,41514,37140,4374,0,24931955
2026-04-20,34259238,23625640,10633598,45554,40485,5070,0,24850982
2026-04-21,34694635,23994978,10699657,45414,40223,5192,0,25048441
2026-04-22,34810689,24058499,10752190,46783,40943,5840,0,25107236
2026-04-23,35079918,24243090,10836828,49415,43469,5947,0,25311616
2026-04-24,35463009,24579345,10883664,48509,42822,5687,0,25287311
2026-04-27,35537755,24652710,10885045,47436,42071,5365,0,25415695
2026-04-28,35689655,24811639,10878016,47536,41406,6130,0,25434889
2026-04-29,36068250,25017693,11050556,50596,44128,6469,0,25171986
2026-04-30,35713079,24683557,11029522,50072,44174,5898,0,25291961
2026-05-04,35838919,24816912,11022007,50724,44859,5865,0,25507473
2026-05-06,35429768,24500853,10928915,49775,44127,5648,0,25636717
2026-05-07,35507187,24553059,10954128,54247,48467,5781,0,25419631
2026-05-08,35950018,24942683,11007335,58321,52207,6114,0,25685928
2026-05-11,35998500,25046079,10952421,52872,46956,5917,0,25857514
2026-05-12,36267738,25403831,10863907,50447,44548,5900,0,26480312
2026-05-13,36074005,25313547,10760457,54626,48367,6258,0,25919934
2026-05-14,36469784,25826781,10643004,52896,46918,5978,0,26329967
2026-05-15,36567516,25987572,10579943,55298,47282,8016,0,26364517
2026-05-18,36396655,25899488,10497167,49069,43797,5273,0,25929748
2026-05-19,35856070,25523374,10332696,44847,39875,4972,0,26534193
2026-05-20,36237024,26003624,10233400,43920,39189,4731,0,26052925
2026-05-21,36472380,26364442,10107938,39910,35744,4166,0,26326553
2026-05-22,36355524,26419905,9935618,40510,36059,4451,0,25729842
2026-05-26,36254787,26399276,9855511,43254,38524,4730,0,25281662
2026-05-27,36690036,26833716,9856320,42397,36999,5398,0,25803160
2026-05-28,37068718,27184083,9884635,44015,38832,5183,0,26190119
2026-05-29,38022681,28024472,9998209,43642,39213,4429,0,26317824
