date,KOSPI지수,거래대금
2026-07-09,7291.91,39556658
2026-07-10,7475.94,31576971
2026-07-13,6806.93,40143820
2026-07-13,6806.93,40143820
2026-07-14,6856.83,46697967
2026-07-15,7284.41,34488296
2026-07-16,6820.6,29820663
