date,KOSPI지수,거래량,거래대금,시가총액,외국인_시가총액,외국인_비중_pct
2026-04-30,6598.87,685459300,35808594,5407467825,2042670620,37.775
2026-05-04,6936.99,873008700,42696033,5685804113,2174828652,38.25
2026-05-06,7384.56,995691700,60000375,6057599952,2360034786,38.96
2026-05-07,7490.05,767462300,51112463,6138256451,2391449619,38.96
2026-05-08,7498.0,523090800,40792656,6143249543,2389465690,38.896
2026-05-11,7822.24,731278800,51843449,6410880165,2525538932,39.395
2026-05-12,7643.15,1021136100,67114560,6261455441,2460546643,39.297
2026-05-13,7844.01,738739300,50464007,6423360481,2538179959,39.515
2026-05-14,7981.41,849941500,51696927,6536711923,2584847836,39.544
2026-05-15,7493.18,885626700,59548489,6134715796,2405947703,39.219
2026-05-18,7516.04,566617500,44609164,6156484428,2427629782,39.432
2026-05-19,7271.66,533508800,37960990,5956875323,2342843993,39.33
2026-05-20,7208.95,492494100,40401033,5903882554,2328156269,39.434
2026-05-21,7815.59,621081700,43187054,6396239934,2531351053,39.576
2026-05-22,7847.71,435533100,31229425,6421467816,2526661810,39.347
2026-05-26,8047.51,519551100,40802699,6580529391,2595999225,39.45
2026-05-27,8228.7,619450600,56832099,6727882017,2687140978,39.94
2026-05-28,8185.29,668950900,53241794,6691609257,2671768991,39.927
2026-05-29,8476.15,735126800,80332511,6933143272,2773572920,40.005
2026-06-01,8788.38,636175300,74330045,7204509361,2900942525,40.266
2026-06-02,8801.49,632553500,69109666,7215300730,2918793763,40.453
2026-06-04,8639.41,437895900,47638553,7073751550,2851012347,40.304
2026-06-05,8160.59,463197400,48519528,6685559130,2673857307,39.995
2026-06-08,7484.41,452204200,48338891,6132411531,2444477453,39.862
2026-06-09,8096.93,448536700,46715419,6625921097,2671595572,40.32
2026-06-10,7730.82,460876800,39944843,6324686063,2524925347,39.922
2026-06-11,7763.95,478729600,46400773,6352556164,2535182184,39.908
2026-06-12,8123.62,493405600,52257644,6649271030,2662474459,40.042
2026-06-15,8545.98,516647800,39992232,6992867782,2805213835,40.115
2026-06-16,8726.6,586336900,40568508,7142513389,2878193321,40.297
